Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:43:28 PM
Exported by: paberbuj

Start: (-29.79, -25.09, -29.57)
End:   (30.02, -25.09, 29.79)

	Campo 1
-25.269367	123.950676
-25.244361	124.567118
-25.219356	125.159808
-25.194351	125.728747
-25.169345	126.273935
-25.144340	126.795371
-25.119334	127.293057
-25.094329	127.766990
-25.069324	128.217173
-25.044318	128.643604
-25.019313	129.046284
-24.994307	129.322241
-24.969302	129.535394
-24.944296	129.744096
-24.919291	129.948349
-24.894286	130.148152
-24.869280	130.343505
-24.844275	130.534407
-24.819269	130.720860
-24.794264	130.902863
-24.769259	131.080415
-24.744253	131.253518
-24.719248	131.422170
-24.694242	131.586373
-24.669237	131.746126
-24.644232	131.883589
-24.619226	132.002648
-24.594221	132.120019
-24.569215	132.235703
-24.544210	132.349699
-24.519205	132.462008
-24.494199	132.572629
-24.469194	132.681562
-24.444188	132.788808
-24.419183	132.894367
-24.394177	132.998237
-24.369172	133.100421
-24.344167	133.200916
-24.319161	133.299724
-24.294156	133.389924
-24.269150	133.467912
-24.244145	133.545156
-24.219140	133.621655
-24.194134	133.697411
-24.169129	133.772422
-24.144123	133.846689
-24.119118	133.920212
-24.094113	133.992991
-24.069107	134.065025
-24.044102	134.136316
-24.019096	134.206862
-23.994091	134.276664
-23.969086	134.345721
-23.944080	134.412384
-23.919075	134.473177
-23.894069	134.533903
-23.869064	134.594563
-23.844058	134.655156
-23.819053	134.715683
-23.794048	134.776144
-23.769042	134.836538
-23.744037	134.896867
-23.719031	134.957128
-23.694026	135.017324
-23.669021	135.077453
-23.644015	135.137516
-23.619010	135.197513
-23.594004	135.257107
-23.568999	135.313779
-23.543994	135.370265
-23.518988	135.426564
-23.493983	135.482678
-23.468977	135.538606
-23.443972	135.594349
-23.418967	135.649905
-23.393961	135.705275
-23.368956	135.760460
-23.343950	135.815458
-23.318945	135.870271
-23.293940	135.924897
-23.268934	135.979338
-23.243929	136.033593
-23.218923	136.082739
-23.193918	136.131426
-23.168912	136.179835
-23.143907	136.227965
-23.118902	136.275817
-23.093896	136.323391
-23.068891	136.370686
-23.043885	136.417703
-23.018880	136.464442
-22.993875	136.510903
-22.968869	136.557085
-22.943864	136.602989
-22.918858	136.648615
-22.893853	136.693962
-22.868848	136.734851
-22.843842	136.774614
-22.818837	136.814116
-22.793831	136.853357
-22.768826	136.892336
-22.743821	136.931054
-22.718815	136.969510
-22.693810	137.007705
-22.668804	137.045638
-22.643799	137.083310
-22.618793	137.120721
-22.593788	137.157870
-22.568783	137.194757
-22.543777	137.231384
-22.518772	137.265468
-22.493766	137.298346
-22.468761	137.331156
-22.443756	137.363897
-22.418750	137.396568
-22.393745	137.429171
-22.368739	137.461705
-22.343734	137.494169
-22.318729	137.526565
-22.293723	137.558892
-22.268718	137.591150
-22.243712	137.623338
-22.218707	137.655458
-22.193702	137.687509
-22.168696	137.717549
-22.143691	137.745765
-22.118685	137.773859
-22.093680	137.801830
-22.068674	137.829679
-22.043669	137.857406
-22.018664	137.885009
-21.993658	137.912490
-21.968653	137.939849
-21.943647	137.967085
-21.918642	137.994199
-21.893637	138.021189
-21.868631	138.048058
-21.843626	138.074804
-21.818620	138.099751
-21.793615	138.122488
-21.768610	138.145145
-21.743604	138.167723
