Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 3:12:02 PM
Exported by: paberbuj

Start: (-29.81, -28.46, -30.09)
End:   (29.53, -28.46, 29.53)

	Campo 1
-22.145471	160.614965
-22.120466	160.642077
-22.095461	160.669868
-22.070456	160.699437
-22.045451	160.730274
-22.020446	160.761614
-21.995441	160.793457
-21.970436	160.825802
-21.945431	160.858480
-21.920426	160.890932
-21.895421	160.923132
-21.870415	160.955079
-21.845410	160.986772
-21.820405	161.018212
-21.795400	161.049399
-21.770395	161.080333
-21.745390	161.111014
-21.720385	161.138431
-21.695380	161.161398
-21.670375	161.183869
-21.645370	161.205846
-21.620365	161.227327
-21.595360	161.245784
-21.570355	161.260260
-21.545350	161.274127
-21.520345	161.287385
-21.495340	161.300033
-21.470335	161.312071
-21.445330	161.323500
-21.420325	161.334319
-21.395320	161.344528
-21.370315	161.353375
-21.345310	161.359524
-21.320305	161.365247
-21.295300	161.370545
-21.270295	161.375417
-21.245290	161.378618
-21.220284	161.378920
-21.195279	161.379046
-21.170274	161.378997
-21.145269	161.378772
-21.120264	161.378372
-21.095259	161.377796
-21.070254	161.377044
-21.045249	161.376117
-21.020244	161.375215
-20.995239	161.376865
-20.970234	161.379209
-20.945229	161.382247
-20.920224	161.385981
-20.895219	161.391535
-20.870214	161.401971
-20.845209	161.413224
-20.820204	161.425295
-20.795199	161.438183
-20.770194	161.451889
-20.745189	161.466412
-20.720184	161.481752
-20.695179	161.497910
-20.670174	161.514885
-20.645169	161.536101
-20.620164	161.557474
-20.595159	161.578611
-20.570153	161.599511
-20.545148	161.620045
-20.520143	161.639104
-20.495138	161.657603
-20.470133	161.675541
-20.445128	161.692918
-20.420123	161.709735
-20.395118	161.725990
-20.370113	161.741686
-20.345108	161.756821
-20.320103	161.771395
-20.295098	161.781448
-20.270093	161.789572
-20.245088	161.797199
-20.220083	161.804331
-20.195078	161.810954
-20.170073	161.813639
-20.145068	161.815732
-20.120063	161.817234
-20.095058	161.818144
-20.070053	161.818462
-20.045048	161.818190
-20.020043	161.817325
-19.995038	161.815870
-19.970033	161.813822
-19.945028	161.807409
-19.920022	161.797724
-19.895017	161.787780
-19.870012	161.777577
-19.845007	161.767115
-19.820002	161.753812
-19.794997	161.740441
-19.769992	161.727320
-19.744987	161.714449
-19.719982	161.701829
-19.694977	161.689459
-19.669972	161.677340
-19.644967	161.665471
-19.619962	161.653853
-19.594957	161.644103
-19.569952	161.637495
-19.544947	161.631640
-19.519942	161.626539
-19.494937	161.622192
-19.469932	161.620013
-19.444927	161.618395
-19.419922	161.616903
-19.394917	161.615537
-19.369912	161.614296
-19.344907	161.613180
-19.319902	161.612190
-19.294897	161.611326
-19.269892	161.610587
-19.244886	161.609184
-19.219881	161.604692
-19.194876	161.599752
-19.169871	161.594365
-19.144866	161.588531
-19.119861	161.579187
-19.094856	161.568070
-19.069851	161.556590
-19.044846	161.544747
-19.019841	161.532541
-18.994836	161.519972
-18.969831	161.507041
-18.944826	161.493746
-18.919821	161.480088
-18.894816	161.466225
-18.869811	161.455615
-18.844806	161.444842
-18.819801	161.433905
-18.794796	161.422806
-18.769791	161.410900
-18.744786	161.398303
-18.719781	161.385461
-18.694776	161.372376
-18.669771	161.359047
-18.644766	161.345473
-18.619761	161.331656
-18.594755	161.317594
-18.569750	161.303289
-18.544745	161.288739
-18.519740	161.283810
-18.494735	161.280366
-18.469730	161.276946
-18.444725	161.273548
-18.419720	161.275416
-18.394715	161.283442
-18.369710	161.291962
-18.344705	161.300977
-18.319700	161.310485
-18.294695	161.320487
-18.269690	161.330984
-18.244685	161.341975
-18.219680	161.353460
-18.194675	161.365439
