Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: PDD_Eq4
Course: C1
Date: Thursday, July 21, 2016 5:41:05 PM
Exported by: laldrovandi

Start: (0.01, 0.03, 0.00)
End:   (0.00, 33.86, 0.00)

	4x4	10x10	20x20	40x40	4x4w15	10x10w15	40x30w15	4x4w30	10x10w30	40x30w30	4x4w45	10x10w45	40x20w45	4x4w60	10x10w60	40x15w60	Total
2.475610	96.756395	97.121889	97.029012	96.849713	97.181148	97.494988	96.983939	97.368750	97.517973	96.863014	96.736140	97.107778	97.030045	96.806224	96.933944	96.524159	1552.305111
2.500616	96.629959	97.011951	96.930828	96.762762	97.060850	97.389790	96.893700	97.251818	97.413226	96.768256	96.614368	97.001412	96.936706	96.686698	96.828154	96.427458	1550.607936
2.525622	96.503524	96.902014	96.832644	96.675810	96.940551	97.284592	96.803460	97.134887	97.308479	96.673497	96.492596	96.895046	96.843367	96.567172	96.722364	96.330756	1548.910760
2.550628	96.377088	96.792077	96.734459	96.588859	96.820253	97.179394	96.713221	97.017955	97.203731	96.578739	96.370824	96.788679	96.750029	96.447646	96.616574	96.234054	1547.213582
2.575635	96.250652	96.682140	96.636275	96.501908	96.699955	97.074196	96.622981	96.901023	97.098984	96.483981	96.249052	96.682313	96.656690	96.328119	96.510783	96.137352	1545.516403
2.600641	96.124216	96.572203	96.538091	96.414956	96.579656	96.968998	96.532741	96.784091	96.994236	96.389222	96.127280	96.575947	96.563351	96.208592	96.404993	96.040649	1543.819222
2.625647	95.997775	96.463052	96.441471	96.330937	96.457643	96.863295	96.444435	96.664670	96.888949	96.296879	96.005967	96.470891	96.472799	96.089387	96.301354	95.948427	1542.137931
2.650653	95.871334	96.353906	96.344862	96.246936	96.335619	96.757590	96.356142	96.545233	96.783658	96.204551	95.884657	96.365844	96.382265	95.970184	96.197729	95.856233	1540.456741
2.675659	95.744893	96.244760	96.248252	96.162935	96.213594	96.651884	96.267848	96.425795	96.678367	96.112223	95.763347	96.260797	96.291730	95.850981	96.094103	95.764039	1538.775550
2.700665	95.618451	96.135613	96.151643	96.078935	96.091570	96.546178	96.179554	96.306358	96.573076	96.019895	95.642037	96.155749	96.201196	95.731778	95.990477	95.671845	1537.094357
2.725672	95.492010	96.026467	96.055034	95.994934	95.969546	96.440473	96.091260	96.186920	96.467785	95.927567	95.520727	96.050702	96.110662	95.612574	95.886852	95.579651	1535.413163
2.750678	95.365569	95.917321	95.958424	95.910933	95.847521	96.334767	96.002967	96.067482	96.362494	95.835239	95.399417	95.945654	96.020127	95.493370	95.783225	95.487456	1533.731967
2.775684	95.239127	95.808175	95.861815	95.826932	95.725497	96.229061	95.914673	95.948045	96.257203	95.742911	95.278106	95.840606	95.929592	95.374166	95.679599	95.395262	1532.050770
2.800690	95.112686	95.699028	95.765205	95.742932	95.603472	96.123356	95.826379	95.828607	96.151911	95.650583	95.156796	95.735558	95.839058	95.254961	95.575972	95.303067	1530.369571
2.825696	94.986245	95.589882	95.668596	95.658931	95.481447	96.017650	95.738085	95.709169	96.046620	95.558255	95.035485	95.630510	95.748523	95.135756	95.472345	95.210872	1528.688371
2.850702	94.859804	95.480736	95.571986	95.574930	95.359423	95.911944	95.649791	95.589731	95.941328	95.465927	94.914174	95.525462	95.657988	95.016551	95.368718	95.118677	1527.007169
2.875709	94.732147	95.371728	95.476006	95.491916	95.235565	95.806419	95.566305	95.468723	95.836395	95.379480	94.793353	95.423144	95.572800	94.897165	95.267878	95.031802	1525.350826
2.900715	94.604485	95.262721	95.380027	95.408906	95.111700	95.700895	95.482837	95.347709	95.731464	95.293057	94.672534	95.320837	95.487633	94.777777	95.167049	94.944948	1523.694579
2.925721	94.476824	95.153714	95.284049	95.325895	94.987834	95.595371	95.399370	95.226694	95.626532	95.206634	94.551714	95.218530	95.402466	94.658390	95.066220	94.858094	1522.038330
2.950727	94.349162	95.044707	95.188071	95.242885	94.863969	95.489846	95.315902	95.105680	95.521600	95.120211	94.430895	95.116222	95.317298	94.539002	94.965390	94.771239	1520.382081
2.975733	94.221501	94.935700	95.092093	95.159874	94.740104	95.384322	95.232435	94.984666	95.416669	95.033788	94.310075	95.013915	95.232131	94.419614	94.864560	94.684385	1518.725829
3.000739	94.093839	94.826693	94.996114	95.076864	94.616238	95.278797	95.148967	94.863651	95.311737	94.947364	94.189255	94.911607	95.146964	94.300226	94.763730	94.597530	1517.069577
3.025746	93.966177	94.717686	94.900136	94.993853	94.492373	95.173273	95.065500	94.742636	95.206805	94.860941	94.068435	94.809300	95.061796	94.180837	94.662900	94.510675	1515.413323
3.050752	93.838516	94.608679	94.804158	94.910843	94.368507	95.067748	94.982032	94.621621	95.101873	94.774517	93.947614	94.706992	94.976629	94.061448	94.562070	94.423819	1513.757068
