Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:33:23 PM
Exported by: laldrovandi

Start: (-25.01, 10.00, 0.00)
End:   (25.00, 10.00, 0.00)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
2.000386	0.000000	11.559327	0.000000	5.598547	0.000000	7.180041	0.000000	2.511451	0.000000	0.000000	26.849366
2.025391	0.000000	11.648728	0.000000	5.616812	0.000000	7.201237	0.000000	2.517860	0.000000	0.000000	26.984637
2.050395	0.000000	11.738129	0.000000	5.635076	0.000000	7.222433	0.000000	2.524269	0.000000	0.000000	27.119908
2.075400	0.000000	11.827530	0.000000	5.653341	0.000000	7.243629	0.000000	2.530678	0.000000	0.000000	27.255179
2.100405	0.000000	11.916931	0.000000	5.671606	0.000000	7.264826	0.000000	2.537087	0.000000	0.000000	27.390450
2.125410	0.000000	12.006332	0.000000	5.689871	0.000000	7.286022	0.000000	2.543496	0.000000	0.000000	27.525721
2.150415	0.000000	12.128020	0.000000	5.708764	0.000000	7.308204	0.000000	2.550090	0.000000	0.000000	27.695078
2.175419	0.000000	12.257244	0.000000	5.727804	0.000000	7.330617	0.000000	2.556726	0.000000	0.000000	27.872390
2.200424	0.000000	12.386469	0.000000	5.746843	0.000000	7.353030	0.000000	2.563362	0.000000	0.000000	28.049703
2.225429	0.000000	12.515693	0.000000	5.765883	0.000000	7.375442	0.000000	2.569998	0.000000	0.000000	28.227015
2.250434	0.000000	12.644917	0.000000	5.784923	0.000000	7.397855	0.000000	2.576634	0.000000	0.000000	28.404328
2.275439	0.000000	12.774141	0.000000	5.803962	0.000000	7.420268	0.000000	2.583270	0.000000	0.000000	28.581640
2.300444	0.000000	12.903365	0.000000	5.823002	0.000000	7.442680	0.000000	2.589906	0.000000	0.000000	28.758953
2.325448	0.000000	13.032589	0.000000	5.842042	0.000000	7.465093	0.000000	2.596542	0.000000	0.000000	28.936265
2.350453	0.000000	13.161813	0.000000	5.861081	0.000000	7.487506	0.000000	2.603178	0.000000	0.000000	29.113578
2.375458	0.000000	13.291037	0.000000	5.880121	0.000000	7.509918	0.000000	2.609814	0.000000	0.000000	29.290890
2.400463	0.000000	13.510703	0.000000	5.900078	0.000000	7.533512	0.000000	2.616832	0.000000	0.000000	29.561125
2.425468	0.000000	13.751213	0.000000	5.920245	0.000000	7.557379	0.000000	2.623939	0.000000	0.000000	29.852776
2.450473	0.000000	13.991723	0.000000	5.940413	0.000000	7.581245	0.000000	2.631045	0.000000	0.000000	30.144427
2.475477	0.000000	14.232233	0.000000	5.960581	0.000000	7.605111	0.000000	2.638152	0.000000	0.000000	30.436077
2.500482	0.000000	14.472743	0.000000	5.980749	0.000000	7.628977	0.000000	2.645259	0.000000	0.000000	30.727728
2.525487	0.000000	14.713252	0.000000	6.000917	0.000000	7.652844	0.000000	2.652365	0.000000	0.000000	31.019378
2.550492	0.000000	14.953762	0.000000	6.021085	0.000000	7.676710	0.000000	2.659472	0.000000	0.000000	31.311029
