Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:42:33 PM
Exported by: paberbuj

Start: (-29.79, -27.56, -29.57)
End:   (30.02, -27.56, 29.79)

	Campo 1
-19.743172	156.400986
-19.718166	156.400036
-19.693161	156.398788
-19.668155	156.397511
-19.643150	156.396169
-19.618144	156.394764
-19.593139	156.393296
-19.568134	156.391764
-19.543128	156.390169
-19.518123	156.388510
-19.493117	156.386788
-19.468112	156.385002
-19.443107	156.383153
-19.418101	156.381240
-19.393096	156.379264
-19.368090	156.377211
-19.343085	156.374752
-19.318080	156.371881
-19.293074	156.368807
-19.268069	156.365597
-19.243063	156.362253
-19.218058	156.358775
-19.193053	156.355162
-19.168047	156.351414
-19.143042	156.347532
-19.118036	156.343515
-19.093031	156.339364
-19.068025	156.335078
-19.043020	156.330657
-19.018015	156.326102
-18.993009	156.322018
-18.968004	156.319853
-18.942998	156.318789
-18.917993	156.317718
-18.892988	156.316640
-18.867982	156.315555
-18.842977	156.314464
-18.817971	156.313367
-18.792966	156.312262
-18.767961	156.311151
-18.742955	156.310034
-18.717950	156.308910
-18.692944	156.307779
-18.667939	156.306642
-18.642934	156.310556
-18.617928	156.318385
-18.592923	156.330072
-18.567917	156.341779
-18.542912	156.353508
-18.517907	156.365258
-18.492901	156.377028
-18.467896	156.388820
-18.442890	156.400633
-18.417885	156.412467
-18.392879	156.424322
-18.367874	156.436198
-18.342869	156.448095
-18.317863	156.460014
-18.292858	156.475554
-18.267852	156.492522
-18.242847	156.510703
-18.217842	156.528522
-18.192836	156.545977
-18.167831	156.563071
-18.142825	156.579801
-18.117820	156.596169
-18.092815	156.612175
-18.067809	156.627818
-18.042804	156.643098
-18.017798	156.658015
-17.992793	156.672570
-17.967788	156.686763
-17.942782	156.699938
-17.917777	156.712395
-17.892771	156.723839
-17.867766	156.734850
-17.842760	156.745428
-17.817755	156.755573
-17.792750	156.765286
-17.767744	156.774565
-17.742739	156.783413
-17.717733	156.791827
-17.692728	156.799809
-17.667723	156.807358
-17.642717	156.814474
-17.617712	156.821158
-17.592706	156.826846
-17.567701	156.831695
-17.542696	156.835244
-17.517690	156.838178
-17.492685	156.840629
-17.467679	156.842598
-17.442674	156.844084
-17.417669	156.845087
-17.392663	156.845607
-17.367658	156.845645
-17.342652	156.845200
-17.317647	156.844272
-17.292641	156.842861
-17.267636	156.840968
-17.242631	156.838058
-17.217625	156.834196
-17.192620	156.829243
-17.167614	156.823620
-17.142609	156.817664
-17.117604	156.811375
-17.092598	156.804752
-17.067593	156.797795
-17.042587	156.790506
-17.017582	156.782883
-16.992577	156.774926
-16.967571	156.766636
-16.942566	156.758013
-16.917560	156.749057
-16.892555	156.739899
-16.867550	156.730665
-16.842544	156.721173
-16.817539	156.711392
-16.792533	156.701363
-16.767528	156.691085
-16.742523	156.680558
-16.717517	156.669782
-16.692512	156.658758
-16.667506	156.647484
-16.642501	156.635962
-16.617495	156.624191
-16.592490	156.612171
-16.567485	156.599903
-16.542479	156.587517
-16.517474	156.575228
-16.492468	156.562673
-16.467463	156.549661
