Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:35:36 PM
Exported by: laldrovandi

Start: (-25.00, 20.00, -0.75)
End:   (25.00, 20.00, -0.75)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
2.850012	0.000000	38.292972	0.000000	6.443548	0.000000	7.932560	0.000000	2.434234	0.000000	1.486568	56.589882
2.875012	0.000000	38.331354	0.000000	6.466459	0.000000	7.959809	0.000000	2.441536	0.000000	1.489833	56.688990
2.900012	0.000000	38.367289	0.000000	6.490321	0.000000	7.987869	0.000000	2.448641	0.000000	1.493093	56.787214
2.925013	0.000000	38.403225	0.000000	6.514184	0.000000	8.015930	0.000000	2.455746	0.000000	1.496353	56.885438
2.950013	0.000000	38.439161	0.000000	6.538047	0.000000	8.043990	0.000000	2.462851	0.000000	1.499613	56.983662
2.975013	0.000000	38.475096	0.000000	6.561910	0.000000	8.072051	0.000000	2.469956	0.000000	1.502874	57.081887
3.000013	0.000000	38.511032	0.000000	6.585772	0.000000	8.100111	0.000000	2.477061	0.000000	1.506134	57.180111
3.025013	0.000000	38.546968	0.000000	6.609635	0.000000	8.128172	0.000000	2.484166	0.000000	1.509394	57.278335
3.050013	0.000000	38.582903	0.000000	6.633498	0.000000	8.156232	0.000000	2.491272	0.000000	1.512654	57.376559
3.075013	0.000000	38.618839	0.000000	6.657361	0.000000	8.184293	0.000000	2.498377	0.000000	1.515915	57.474784
3.100013	0.000000	38.654775	0.000000	6.681223	0.000000	8.212353	0.000000	2.505482	0.000000	1.519175	57.573008
3.125013	0.000000	38.690399	0.000000	6.705388	0.000000	8.240837	0.000000	2.512669	0.000000	1.522575	57.671867
3.150013	0.000000	38.724523	0.000000	6.731003	0.000000	8.271358	0.000000	2.520249	0.000000	1.526646	57.773778
3.175014	0.000000	38.758646	0.000000	6.756618	0.000000	8.301878	0.000000	2.527829	0.000000	1.530718	57.875690
3.200014	0.000000	38.792770	0.000000	6.782234	0.000000	8.332399	0.000000	2.535409	0.000000	1.534789	57.977601
3.225014	0.000000	38.826894	0.000000	6.807849	0.000000	8.362919	0.000000	2.542990	0.000000	1.538861	58.079513
3.250014	0.000000	38.861018	0.000000	6.833465	0.000000	8.393440	0.000000	2.550570	0.000000	1.542932	58.181424
3.275014	0.000000	38.895142	0.000000	6.859080	0.000000	8.423960	0.000000	2.558150	0.000000	1.547004	58.283336
3.300014	0.000000	38.929266	0.000000	6.884695	0.000000	8.454481	0.000000	2.565730	0.000000	1.551075	58.385247
3.325014	0.000000	38.963389	0.000000	6.910311	0.000000	8.485001	0.000000	2.573310	0.000000	1.555147	58.487158
3.350014	0.000000	38.997513	0.000000	6.935926	0.000000	8.515522	0.000000	2.580891	0.000000	1.559218	58.589070
3.375014	0.000000	39.031272	0.000000	6.961843	0.000000	8.546380	0.000000	2.588594	0.000000	1.563339	58.691428
3.400015	0.000000	39.063273	0.000000	6.989211	0.000000	8.578866	0.000000	2.596887	0.000000	1.567697	58.795934
3.425015	0.000000	39.095274	0.000000	7.016579	0.000000	8.611351	0.000000	2.605181	0.000000	1.572054	58.900440
3.450015	0.000000	39.127276	0.000000	7.043948	0.000000	8.643837	0.000000	2.613475	0.000000	1.576412	59.004947
3.475015	0.000000	39.159277	0.000000	7.071316	0.000000	8.676322	0.000000	2.621768	0.000000	1.580770	59.109453
3.500015	0.000000	39.191279	0.000000	7.098684	0.000000	8.708808	0.000000	2.630062	0.000000	1.585128	59.213960
3.525015	0.000000	39.223280	0.000000	7.126052	0.000000	8.741293	0.000000	2.638356	0.000000	1.589486	59.318466
3.550015	0.000000	39.255282	0.000000	7.153420	0.000000	8.773778	0.000000	2.646649	0.000000	1.593844	59.422973
3.575015	0.000000	39.287283	0.000000	7.180788	0.000000	8.806264	0.000000	2.654943	0.000000	1.598202	59.527480
3.600015	0.000000	39.319285	0.000000	7.208157	0.000000	8.838749	0.000000	2.663237	0.000000	1.602560	59.631987
3.625016	0.000000	39.351060	0.000000	7.235524	0.000000	8.871278	0.000000	2.671490	0.000000	1.606822	59.736175
3.650016	0.000000	39.381746	0.000000	7.262887	0.000000	8.904018	0.000000	2.679551	0.000000	1.610622	59.838824
3.675016	0.000000	39.412433	0.000000	7.290250	0.000000	8.936757	0.000000	2.687611	0.000000	1.614423	59.941474
3.700016	0.000000	39.443120	0.000000	7.317613	0.000000	8.969496	0.000000	2.695671	0.000000	1.618223	60.044123
3.725016	0.000000	39.473806	0.000000	7.344977	0.000000	9.002235	0.000000	2.703732	0.000000	1.622023	60.146773
3.750016	0.000000	39.504493	0.000000	7.372340	0.000000	9.034975	0.000000	2.711792	0.000000	1.625824	60.249423
3.775016	0.000000	39.535180	0.000000	7.399703	0.000000	9.067714	0.000000	2.719852	0.000000	1.629624	60.352073
3.800016	0.000000	39.565867	0.000000	7.427066	0.000000	9.100453	0.000000	2.727912	0.000000	1.633424	60.454723
3.825016	0.000000	39.596554	0.000000	7.454430	0.000000	9.133193	0.000000	2.735973	0.000000	1.637225	60.557373
3.850016	0.000000	39.627240	0.000000	7.481793	0.000000	9.165932	0.000000	2.744033	0.000000	1.641025	60.660023
3.875017	0.000000	39.657644	0.000000	7.509457	0.000000	9.199011	0.000000	2.752134	0.000000	1.644873	60.763118
3.900017	0.000000	39.686686	0.000000	7.538568	0.000000	9.233720	0.000000	2.760427	0.000000	1.648949	60.868350
3.925017	0.000000	39.715728	0.000000	7.567678	0.000000	9.268429	0.000000	2.768721	0.000000	1.653025	60.973582
3.950017	0.000000	39.744770	0.000000	7.596789	0.000000	9.303138	0.000000	2.777015	0.000000	1.657102	61.078814
3.975017	0.000000	39.773812	0.000000	7.625899	0.000000	9.337848	0.000000	2.785309	0.000000	1.661178	61.184046
4.000017	0.000000	39.802854	0.000000	7.655010	0.000000	9.372557	0.000000	2.793603	0.000000	1.665254	61.289278
4.025017	0.000000	39.831896	0.000000	7.684120	0.000000	9.407266	0.000000	2.801897	0.000000	1.669330	61.394510
4.050017	0.000000	39.860938	0.000000	7.713231	0.000000	9.441976	0.000000	2.810191	0.000000	1.673407	61.499742
